tr,ri_obs,ri_temp,ri_temp_var
0.064413,0.32203122891943803,-0.10147,0.026862
0.16441,0.3239800666073313,-0.10044,0.0268
0.26441,0.325930409312729,-0.099362,0.026731
0.36441,0.3278893439867281,-0.098236,0.026654
0.46441,0.32984827866072725,-0.09706,0.02657
0.56441,0.33181209724577215,-0.095834,0.02648
0.66441,0.33377861445516305,-0.094556,0.026385
0.76441,0.3357458834165648,-0.093225,0.026287
0.86441,0.33771761750319984,-0.091842,0.026186
0.96441,0.3396893515898348,-0.090404,0.026084
1.0644,0.34166278188359434,-0.088912,0.025982
1.1644,0.3436374560021131,-0.087364,0.025883
1.2644,0.34561223819067527,-0.08576,0.025788
1.3644,0.34758766279560693,-0.084099,0.025699
1.4644,0.34956308740053865,-0.082379,0.025618
1.5644,0.3515376404982572,-0.080601,0.025548
1.6644,0.35351171183111885,-0.078763,0.025492
1.7644,0.35548529748705093,-0.076865,0.025451
1.8644,0.3574559960634576,-0.074905,0.025429
1.9644,0.3594266946398643,-0.072884,0.025429
2.0644,0.3613939739113756,-0.0708,0.025454
2.1644,0.363359363008131,-0.068652,0.025507
2.2644,0.36532372035143174,-0.066441,0.025591
2.3644,0.367281944493641,-0.064164,0.025709
2.4644,0.3692401686358503,-0.061822,0.025866
2.5644,0.3711926349710953,-0.059413,0.026063
2.6644,0.3731419184192606,-0.056937,0.026304
2.7644,0.3750896699650358,-0.054393,0.026592
2.8644,0.37702831520215874,-0.051781,0.02693
2.9644,0.37896696043928163,-0.049099,0.02732
3.0644,0.3808977108685317,-0.046347,0.027764
3.1644,0.38282409708721854,-0.043524,0.028265
3.2644,0.38474849543931117,-0.04063,0.028823
3.3644,0.38666107702887176,-0.037664,0.029441
3.4644,0.38857365861843235,-0.034624,0.03012
3.5644,0.39047640210592377,-0.031512,0.03086
3.6644,0.3923737071394763,-0.028325,0.031662
3.7644,0.39426861078410325,-0.025063,0.032527
3.8644,0.3961492395056728,-0.021725,0.033454
3.9644,0.39802986822724246,-0.018312,0.034443
4.0644,0.3998989014648069,-0.014821,0.035495
4.1644,0.40176152477643057,-0.011253,0.036608
4.2644,0.4036213738758114,-0.0076068,0.037783
4.3644,0.4054647318246374,-0.0038818,0.039019
4.4644,0.4073080897734634,-7.7271e-05,0.040314
4.5644,0.4091382729741591,0.0037705,0.039885
4.6644,0.410961173239553,0.0075694,0.038875
4.7644,0.4127809654255428,0.011316,0.037903
4.8644,0.4145822818061858,0.01501,0.036969
4.9644,0.41638359818682874,0.018653,0.036072
5.0644,0.41817033087857497,0.022245,0.035211
5.1644,0.4199490017795647,0.025787,0.034387
5.2644,0.42172426794728607,0.029279,0.033598
5.3644,0.42347929486724567,0.032722,0.032845
5.4644,0.42523432178720527,0.036117,0.032126
5.5644,0.4269735186064127,0.039464,0.031442
5.6644,0.4287039646245832,0.042763,0.030791
5.7644,0.43043074472605974,0.046016,0.030173
5.8644,0.4321357329894105,0.049222,0.029587
5.9644,0.4338407212527613,0.052383,0.029032
6.0644,0.43552878773796405,0.055499,0.028508
6.1644,0.43720749994829006,0.05857,0.028014
6.2644,0.4388823187860767,0.061597,0.027549
6.3644,0.4405339936871017,0.064581,0.027112
6.4644,0.4421856685881268,0.067521,0.026702
6.5644,0.44381947697361546,0.070419,0.026319
6.6644,0.4454434088380933,0.073275,0.025961
6.7644,0.4470632518589081,0.07609,0.025627
6.8644,0.44865878897572564,0.078864,0.025317
6.9644,0.4502543260925432,0.081597,0.025028
7.0644,0.4518311911019956,0.08429,0.024761
7.1644,0.4533977342632773,0.086944,0.024514
7.2644,0.4549600233516355,0.089559,0.024286
7.3644,0.45649702433983746,0.092136,0.024076
7.4644,0.4580340253280394,0.094674,0.023883
7.5644,0.45955167996815366,0.097175,0.023706
7.6644,0.461058640043176,0.099638,0.023544
7.7644,0.4625612093150195,0.10207,0.023396
7.8644,0.4640376777012995,0.10446,0.02326
7.9644,0.4655141460875796,0.10681,0.023137
8.0644,0.4669707174417069,0.10913,0.023024
8.1644,0.4684162898153274,0.11142,0.022922
8.2644,0.4698573614116596,0.11367,0.022828
8.3644,0.4712716783874447,0.11588,0.022744
8.4644,0.4726859953632298,0.11807,0.022666
8.5644,0.4740799803850042,0.12022,0.022596
8.6644,0.4754627260036298,0.12233,0.022532
8.7644,0.4768408858841457,0.12442,0.022473
8.8644,0.4781917860992319,0.12647,0.022419
8.9644,0.47954268631431807,0.12849,0.022369
9.0644,0.4808729276212899,0.13048,0.022323
9.1644,0.48219174878650917,0.13244,0.02228
9.2644,0.48350592252322677,0.13437,0.022239
9.3644,0.484792469879407,0.13627,0.022201
9.4644,0.4860790172355873,0.13814,0.022164
9.5644,0.4873446789028568,0.13998,0.022129
9.6644,0.4885987950650764,0.14179,0.022095
9.7644,0.48984822363597275,0.14357,0.022061
9.8644,0.4910697870806702,0.14533,0.022027
9.9644,0.4922913505253676,0.14705,0.021994
10.064,0.4934871381850064,0.14875,0.02196
10.164,0.49467606173707906,0.15042,0.021926
10.264,0.49586040809664783,0.15207,0.021891
10.364,0.49701663741654983,0.15369,0.021855
10.464,0.4981728667364519,0.15528,0.021818
10.564,0.4993081570169637,0.15685,0.02178
10.664,0.5004316690878184,0.15839,0.02174
10.764,0.5015506016948104,0.15991,0.021699
10.864,0.502641403309501,0.1614,0.021657
10.964,0.5037322049241917,0.16287,0.021613
11.064,0.5048020943043792,0.16431,0.021567
11.164,0.5058602205526587,0.16573,0.021519
11.264,0.5069137809119612,0.16713,0.021469
