hjd_ref hjd_obs hjd_diff spec_line vrel verr tdr
2458836.72805 2458836.72805 0.0 HeII_5411 -0.0002 0.000 5.842E7
2458836.72805 2458836.72805 0.0 HeII_4686 -0.0001 0.000 5.988E7
2458836.72805 2458836.72805 0.0 HeII_4542 -0.0002 0.000 6.050E7
2458836.72805 2458836.72805 0.0 HeII_4201 -0.0002 0.000 5.616E7
2458836.72805 2458836.72805 0.0 HeII_4026 -0.0001 0.000 5.067E7
2458836.72805 2458836.72805 0.0 HeII4860/Hb -0.0003 0.000 4.889E7
2458836.72805 2458836.72805 0.0 HeII4339/Hc -0.0000 0.000 5.589E7
2458836.72805 2458836.72805 0.0 HeII4101/Hd -0.0001 0.000 7.261E7
2458836.72805 2458836.72805 0.0 HeII3969/He -0.0001 0.000 5.330E7
2458836.72805 2458836.72805 0.0 HeII3889/Hf -0.0001 0.000 4.195E7
2458836.72805 2458836.72805 0.0 HeII3835/Hg -0.0001 0.000 4.794E7
2458836.72805 2458836.72805 0.0 HeII_iso -0.0001 0.000 4.910E7
2458836.72805 2458836.72805 0.0 HeIIH_blend -0.0001 0.000 3.969E7
2458836.72805 2458836.72805 0.0 HeIIH_blend_lite -0.0002 0.000 4.691E7
2458836.72805 2458836.72805 0.0 All_lines -0.0001 0.000 3.604E7
2458836.72805 2458836.72805 0.0 All_lines_lite -0.0001 0.000 4.103E7
2458836.72805 2458836.72805 0.0 Full -0.0003 0.000 2.478E7
2458836.72805 2458485.7375 -350.99055000022054 HeII_5411 85.8007 1.916 212.72
2458836.72805 2458485.7375 -350.99055000022054 HeII_4686 -2.5790 2.504 148.07
2458836.72805 2458485.7375 -350.99055000022054 HeII_4542 28.7559 3.026 143.38
2458836.72805 2458485.7375 -350.99055000022054 HeII_4201 55.7220 7.717 33.89
2458836.72805 2458485.7375 -350.99055000022054 HeII_4026 88.7209 2.350 111.77
2458836.72805 2458485.7375 -350.99055000022054 HeII4860/Hb -5.8877 1.523 352.78
2458836.72805 2458485.7375 -350.99055000022054 HeII4339/Hc -28.1545 3.437 147.27
2458836.72805 2458485.7375 -350.99055000022054 HeII4101/Hd -13.1354 4.067 104.96
2458836.72805 2458485.7375 -350.99055000022054 HeII3969/He INDEF INDEF INDEF
2458836.72805 2458485.7375 -350.99055000022054 HeII3889/Hf -50.9692 2.178 225.68
2458836.72805 2458485.7375 -350.99055000022054 HeII3835/Hg -51.0539 0.694 278.81
2458836.72805 2458485.7375 -350.99055000022054 HeII_iso 36.4876 7.599 54.70
2458836.72805 2458485.7375 -350.99055000022054 HeIIH_blend -22.1207 6.221 85.76
2458836.72805 2458485.7375 -350.99055000022054 HeIIH_blend_lite -13.7920 7.061 76.56
2458836.72805 2458485.7375 -350.99055000022054 All_lines 4.8993 7.967 71.78
2458836.72805 2458485.7375 -350.99055000022054 All_lines_lite 13.5991 8.214 63.99
2458836.72805 2458485.7375 -350.99055000022054 Full 12.7534 8.431 47.86
2458836.72805 2458836.5715 -0.15654999995604157 HeII_5411 -9.3613 4.005 95.00
2458836.72805 2458836.5715 -0.15654999995604157 HeII_4686 -6.1572 0.781 508.34
2458836.72805 2458836.5715 -0.15654999995604157 HeII_4542 INDEF INDEF INDEF
2458836.72805 2458836.5715 -0.15654999995604157 HeII_4201 53.4719 9.168 55.57
2458836.72805 2458836.5715 -0.15654999995604157 HeII_4026 -295.9510 3.288 68.21
2458836.72805 2458836.5715 -0.15654999995604157 HeII4860/Hb 6.7030 1.879 204.55
2458836.72805 2458836.5715 -0.15654999995604157 HeII4339/Hc 16.8764 10.331 157.12
2458836.72805 2458836.5715 -0.15654999995604157 HeII4101/Hd INDEF INDEF INDEF
2458836.72805 2458836.5715 -0.15654999995604157 HeII3969/He 61.6597 4.229 42.64
2458836.72805 2458836.5715 -0.15654999995604157 HeII3889/Hf 4.9830 2.672 146.19
2458836.72805 2458836.5715 -0.15654999995604157 HeII3835/Hg 152.5734 3.706 77.80
2458836.72805 2458836.5715 -0.15654999995604157 HeII_iso INDEF INDEF INDEF
2458836.72805 2458836.5715 -0.15654999995604157 HeIIH_blend 4.4491 8.810 55.13
2458836.72805 2458836.5715 -0.15654999995604157 HeIIH_blend_lite 1.5743 11.326 52.59
2458836.72805 2458836.5715 -0.15654999995604157 All_lines 5.7681 8.296 60.96
2458836.72805 2458836.5715 -0.15654999995604157 All_lines_lite -5.0951 11.360 52.66
2458836.72805 2458836.5715 -0.15654999995604157 Full -3.9259 11.876 42.97
2458836.72805 2458483.64399 -353.0840600002557 HeII_5411 18.4120 1.949 335.67
2458836.72805 2458483.64399 -353.0840600002557 HeII_4686 -14.2885 2.105 195.28
2458836.72805 2458483.64399 -353.0840600002557 HeII_4542 -35.5420 2.563 155.43
2458836.72805 2458483.64399 -353.0840600002557 HeII_4201 INDEF INDEF INDEF
2458836.72805 2458483.64399 -353.0840600002557 HeII_4026 -467.1098 4.473 79.50
2458836.72805 2458483.64399 -353.0840600002557 HeII4860/Hb -14.3664 2.682 187.97
