hjd_ref hjd_obs hjd_diff spec_line vrel verr tdr
2458866.5597 2458866.5597 0.0 HeII_5411 -0.0001 0.000 6.058E7
2458866.5597 2458866.5597 0.0 HeII_4686 -0.0000 0.000 5.179E7
2458866.5597 2458866.5597 0.0 HeII_4542 -0.0001 0.000 4.526E7
2458866.5597 2458866.5597 0.0 HeII_4201 -0.0002 0.000 4.310E7
2458866.5597 2458866.5597 0.0 HeII_4026 -0.0000 0.000 1.547E8
2458866.5597 2458866.5597 0.0 HeII4860/Hb -0.0005 0.000 4.306E7
2458866.5597 2458866.5597 0.0 HeII4339/Hc -0.0002 0.000 4.351E7
2458866.5597 2458866.5597 0.0 HeII4101/Hd -0.0002 0.000 5.145E7
2458866.5597 2458866.5597 0.0 HeII3969/He -0.0000 0.000 7.082E7
2458866.5597 2458866.5597 0.0 HeII3889/Hf -0.0005 0.000 4.607E7
2458866.5597 2458866.5597 0.0 HeII3835/Hg -0.0000 0.000 5.901E7
2458866.5597 2458866.5597 0.0 HeII_iso -0.0003 0.000 4.450E7
2458866.5597 2458866.5597 0.0 HeIIH_blend -0.0001 0.000 3.602E7
2458866.5597 2458866.5597 0.0 HeIIH_blend_lite -0.0002 0.000 3.866E7
2458866.5597 2458866.5597 0.0 All_lines -0.0001 0.000 2.985E7
2458866.5597 2458866.5597 0.0 All_lines_lite -0.0001 0.000 3.402E7
2458866.5597 2458866.5597 0.0 Full -0.0001 0.000 1.300E7
2458866.5597 2458840.63207 -25.92763000028208 HeII_5411 INDEF INDEF INDEF
2458866.5597 2458840.63207 -25.92763000028208 HeII_4686 INDEF INDEF INDEF
2458866.5597 2458840.63207 -25.92763000028208 HeII_4542 INDEF INDEF INDEF
2458866.5597 2458840.63207 -25.92763000028208 HeII_4201 55.5827 1.753 225.80
2458866.5597 2458840.63207 -25.92763000028208 HeII_4026 -267.3130 4.813 26.34
2458866.5597 2458840.63207 -25.92763000028208 HeII4860/Hb 240.5940 8.900 48.42
2458866.5597 2458840.63207 -25.92763000028208 HeII4339/Hc 171.2234 4.665 103.96
2458866.5597 2458840.63207 -25.92763000028208 HeII4101/Hd INDEF INDEF INDEF
2458866.5597 2458840.63207 -25.92763000028208 HeII3969/He 51.8938 2.055 104.51
2458866.5597 2458840.63207 -25.92763000028208 HeII3889/Hf 271.9158 5.918 43.34
2458866.5597 2458840.63207 -25.92763000028208 HeII3835/Hg 62.2155 2.223 197.78
2458866.5597 2458840.63207 -25.92763000028208 HeII_iso 193.0086 1.016 53.50
2458866.5597 2458840.63207 -25.92763000028208 HeIIH_blend 84.1747 12.179 37.65
2458866.5597 2458840.63207 -25.92763000028208 HeIIH_blend_lite 230.3962 12.973 50.79
2458866.5597 2458840.63207 -25.92763000028208 All_lines INDEF INDEF INDEF
2458866.5597 2458840.63207 -25.92763000028208 All_lines_lite 231.1493 11.487 45.19
2458866.5597 2458840.63207 -25.92763000028208 Full 248.9664 13.197 46.33
2458866.5597 2458839.66491 -26.894790000282228 HeII_5411 INDEF INDEF INDEF
2458866.5597 2458839.66491 -26.894790000282228 HeII_4686 -17.4111 1.265 390.08
2458866.5597 2458839.66491 -26.894790000282228 HeII_4542 -78.8512 2.291 106.51
2458866.5597 2458839.66491 -26.894790000282228 HeII_4201 153.5697 3.082 88.80
2458866.5597 2458839.66491 -26.894790000282228 HeII_4026 -704.6063 5.932 18.03
2458866.5597 2458839.66491 -26.894790000282228 HeII4860/Hb -160.8734 3.236 158.12
2458866.5597 2458839.66491 -26.894790000282228 HeII4339/Hc -61.6809 5.736 104.98
2458866.5597 2458839.66491 -26.894790000282228 HeII4101/Hd 219.0961 6.003 45.92
2458866.5597 2458839.66491 -26.894790000282228 HeII3969/He -36.3854 2.742 57.65
2458866.5597 2458839.66491 -26.894790000282228 HeII3889/Hf -144.8017 15.937 31.67
2458866.5597 2458839.66491 -26.894790000282228 HeII3835/Hg INDEF INDEF INDEF
2458866.5597 2458839.66491 -26.894790000282228 HeII_iso -47.8755 13.936 36.32
2458866.5597 2458839.66491 -26.894790000282228 HeIIH_blend INDEF INDEF INDEF
2458866.5597 2458839.66491 -26.894790000282228 HeIIH_blend_lite INDEF INDEF INDEF
2458866.5597 2458839.66491 -26.894790000282228 All_lines INDEF INDEF INDEF
2458866.5597 2458839.66491 -26.894790000282228 All_lines_lite INDEF INDEF INDEF
2458866.5597 2458839.66491 -26.894790000282228 Full -38.8644 11.871 33.61
2458866.5597 2458838.55851 -28.001190000213683 HeII_5411 INDEF INDEF INDEF
2458866.5597 2458838.55851 -28.001190000213683 HeII_4686 65.8322 1.677 416.91
2458866.5597 2458838.55851 -28.001190000213683 HeII_4542 INDEF INDEF INDEF
2458866.5597 2458838.55851 -28.001190000213683 HeII_4201 82.4191 3.569 109.09
2458866.5597 2458838.55851 -28.001190000213683 HeII_4026 211.9847 4.429 36.35
2458866.5597 2458838.55851 -28.001190000213683 HeII4860/Hb 51.4377 5.035 88.90
2458866.5597 2458838.55851 -28.001190000213683 HeII4339/Hc 67.7428 6.730 91.49
2458866.5597 2458838.55851 -28.001190000213683 HeII4101/Hd 57.0055 7.370 58.66
2458866.5597 2458838.55851 -28.001190000213683 HeII3969/He 39.1654 2.784 48.91
2458866.5597 2458838.55851 -28.001190000213683 HeII3889/Hf INDEF INDEF INDEF
2458866.5597 2458838.55851 -28.001190000213683 HeII3835/Hg INDEF INDEF INDEF
2458866.5597 2458838.55851 -28.001190000213683 HeII_iso 114.8771 22.295 41.84
2458866.5597 2458838.55851 -28.001190000213683 HeIIH_blend 58.1072 10.615 44.83
2458866.5597 2458838.55851 -28.001190000213683 HeIIH_blend_lite 57.6163 9.650 49.90
2458866.5597 2458838.55851 -28.001190000213683 All_lines 68.9178 15.805 41.28
2458866.5597 2458838.55851 -28.001190000213683 All_lines_lite 73.2606 12.713 49.15
2458866.5597 2458838.55851 -28.001190000213683 Full INDEF INDEF INDEF
